title,company,location,job_url,description,date_posted,job_type,is_remote,salary_min,salary_max,interval
Network Engineer I (Remote) - WashU IT,Washington University in St. Louis,"St. Louis, MO, US",https://www.indeed.com/viewjob?jk=ea27338d851e7862,"**Scheduled Hours**
===================


40**Position Summary**
====================


Provides technical and analytical support by serving as a specialist for networking, enterprise network planning, troubleshooting, security, network system administration, and/or networking products and services. Work includes the design, review of internal and external infrastructure requirements, technology evaluation, testing, and developing guidelines for implementation. Serves as expert on complex networks including serving as a resource to the SOC in network problem solving. Employee may also function as a resource for network management systems or telecommunications networks (data, voice, video, and voice\-over IP), network architecture, network systems administration, network services, and converged network services. Employee requires a general understanding of all aspects of networking (routing and switching, wireless, security, etc.).**Job Description**
===================

**Primary Duties \& Responsibilities:**

* Provides tier three resource for various network performance and connectivity issues; assists the Network Operation Center (NOC) analysts when called upon.
* Configures and manages central network components (including network distribution and core, firewalls and VPN gateways, wireless controllers) to provide service to end users and departments.
* Works with SOC to establish policies and procedures for managing the network. 10%
* Stays current with new technologies, with a focus on routing, switching, wireless and security technology.
* Prepares and maintains detailed network documentation both for networking team and end users.
* Configures and manages security perimeter devices (firewalls and VPN gateways) to provide service to end users and departments.
* Performs other duties as assigned.

**Working Conditions:**


Job Location/Working Conditions

* Normal office environment


Physical Effort

* Typically sitting at desk or table


Equipment

* Office equipment


The above statements are intended to describe the general nature and level of work performed by people assigned to this classification. They are not intended to be construed as an exhaustive list of all job duties performed by the personnel so classified. Management reserves the right to revise or amend duties at any time.**Required Qualifications**
===========================

**Education:**


Bachelor's degree **Certifications****/Professional Licenses****:**


No specific certification/professional license is required for this position. **Work Experience:**


Network Design (2 Years) **Skills:**


Not Applicable **Driver's License:**


A driver's license is not required for this position.**More About This Job**
=======================


WashU seeks highly motivated individuals who are able to perform duties in a manner consistent with our core mission and guiding principles.**Preferred Qualifications**
============================

**Education:**


No additional education unless stated elsewhere in the job posting. **Certifications****/Professional Licenses****:**


No additional certification/professional licenses unless stated elsewhere in the job posting. **Work Experience:**


No additional work experience unless stated elsewhere in the job posting.**Skills:**


Client Counseling, Client Management, Customer Empathy, Customer Service, IT Solution Design, Negotiation, Networking Technologies, Oral Communications, Organizational Planning, Stakeholder Management, Technical Support, Written Communication**Grade**
=========


G13**Salary Range**
================


$65,900\.00 \- $112,700\.00 / Annually
The salary range reflects base salaries paid for positions in a given job grade across the University. Individual rates within the range will be determined by factors including one's qualifications and performance, equity with others in the department, market rates for positions within the same grade and department budget.**Questions**
=============


For frequently asked questions about the application process, please refer to our External Applicant FAQ.

**Accommodation**
=================


If you are unable to use our online application system and would like an accommodation, please email CandidateQuestions@wustl.edu or call the dedicated accommodation inquiry number at 314\-935\-1149 and leave a voicemail with the nature of your request.


All qualified individuals must be able to perform the essential functions of the position satisfactorily and, if requested, reasonable accommodations will be made to enable employees with disabilities to perform the essential functions of their job, absent undue hardship.**Pre\-Employment Screening**
=============================


All external candidates receiving an offer for employment will be required to submit to pre\-employment screening for this position. The screenings will include criminal background check and, as applicable for the position, other background checks, drug screen, an employment and education or licensure/certification verification, physical examination, certain vaccinations and/or governmental registry checks. All offers are contingent upon successful completion of required screening.**Benefits Statement**
======================


Personal

* Up to 22 days of vacation, 10 recognized holidays, and sick time.
* Competitive health insurance packages with priority appointments and lower copays/coinsurance.
* Take advantage of our free Metro transit U\-Pass for eligible employees.
* WashU provides eligible employees with a defined contribution (403(b)) Retirement Savings Plan, which combines employee contributions and university contributions starting at 7%.


Wellness

* Wellness challenges, annual health screenings, mental health resources, mindfulness programs and courses, employee assistance program (EAP), financial resources, access to dietitians, and more!


Family

* We offer 4 weeks of caregiver leave to bond with your new child. Family care resources are also available for your continued childcare needs. Need adult care? We’ve got you covered.
* WashU covers the cost of tuition for you and your family, including dependent undergraduate\-level college tuition up to 100% at WashU and 40% elsewhere after seven years with us.


For policies, detailed benefits, and eligibility, please visit: https://hr.wustl.edu/benefits/

**EEO Statement**
=================


Washington University in St. Louis is committed to the principles and practices of equal employment opportunity. It is the University’s policy to provide equal opportunity and access to persons in all job titles without regard to race, ethnicity, color, national origin, citizenship (where prohibited by federal law), age, religion, sex, sexual orientation, gender identity or expression, disability, protected veteran status, or genetic information.",2026-05-08,fulltime,True,65900.0,112700.0,yearly
Cloud Security Engineer,Stifel,"St. Louis, MO, US",https://www.indeed.com/viewjob?jk=3cf025325d2933a5,"Why Stifel:

Stifel strives for a culture that puts its clients and associates first: a culture where everyone belongs, everyone is welcome, and everyone contributes to the success of our clients, their careers, and the firm as a whole.  

Let’s talk about how you can find your place here at Stifel, **where success meets success**.
What You'll Be Doing:

The Cloud Security Engineer is responsible for designing, implementing, and maintaining security measures within cloud computing environments. They ensure the confidentiality, integrity, and availability of cloud\-based systems and data by conducting risk assessments, developing security policies and procedures, implementing security controls, monitoring security incidents, and responding to and mitigating security breaches. The Cloud Security Engineer collaborates with cross\-functional teams to identify and address potential security vulnerabilities and continuously improves the security posture of cloud\-based infrastructure and applications.
What We're Looking For:
* Identify and resolve security issues across the cloud infrastructure.
* Build, deploy, and manage security tools and services.
* Design and implement scalable processes to provision cloud access.
* Maintain a low\-touch, reliable, and user\-friendly infrastructure.
* Evaluate and respond to alerts and events from security tools.
* Tune security tool configuration to minimize false positives.
* Develop event response documentation and processes, including diagrams for system environments, cloud operations, and security tools.
* Collaborate with security leadership, engineering, and compliance to execute security strategies.
* Assist other teams in solving security issues that comply with business requirements and best practices.
* Assess our current cloud security and propose improvements or solutions.
* Review our architecture and design through a security lens to provide actionable, timely requirements and recommendations.
* Serve as a subject matter expert for security tools, applications, and processes.


What You'll Bring:
* Experience deploying and customizing security tools such as vulnerability scanners, static analyzers, IDS/IPS, firewalls, and endpoint security monitoring.
* Experience using CI/CD pipelines for change management and automated security testing.
* Experience with networking and Unix/Linux servers.
* Experience developing software with object\-oriented languages like Python, Java, C\+\+, or Ruby.
* Experience with database programming and administration.
* Experience with log management and/or correlation systems.
* Fluent in one or more programming or scripting languages.
* Thorough understanding of cloud and network security.
* Ability to write SQL queries and build dashboards and reports.
* Knowledge of networking and web protocols.
* Knowledge of modern cloud technology components and deployment patterns.
* Strong communication and collaboration skills.
* Strong analytical problem\-solving skills.


Education \& Experience:
* Minimum Required: Bachelor's degree in computer science, information systems, or a related field.
* Minimum Required: 5\+ years of experience working with a public cloud infrastructure, preferably within AWS.


Licenses \& Credentials:
* NIST or ISO Certification is preferred.


Systems \& Technology:
* Experience with Python, Java, C\+\+, or Ruby.
* Experience with SQL.


About Stifel:

Stifel is more than 130 years old and still thinking like a start\-up. We are a global wealth management and investment banking firm serious about innovation and fresh ideas. Built on a simple premise of safeguarding our clients’ money as if it were our own, coined by our namesake, Herman Stifel, our success is intimately tied to our commitment to helping families, companies, and municipalities find their own success.  

While our headquarters is in St. Louis, we have offices in New York, San Francisco, Baltimore, London, Frankfurt, Toronto, and more than 400 other locations. Stifel is home to approximately 9,000 individuals who are currently building their careers as financial advisors, research analysts, project managers, marketing specialists, developers, bankers, operations associates, among hundreds more. Let’s talk about how you can find your place here at Stifel, where success meets success.  

At Stifel we offer an entrepreneurial environment, comprehensive benefits package to include health, dental and vision care, 401k, wellness initiatives, life insurance, and paid time off.  

Stifel is an Equal Opportunity Employer.",2026-05-08,fulltime,False,,,
EIC Information Security Operations Engineer Intern,Cushman & Wakefield,"St. Louis, MO, US",https://www.indeed.com/viewjob?jk=364a4511dc1bb156,"**Job Title**


EIC Information Security Operations Engineer Intern**Job Description Summary**


Cushman \& Wakefield is a global commercial real estate services leader with 52,000 professionals worldwide, we will never settle for the world that’s been built, but relentlessly drive it forward for our clients, colleagues and communities. Here you have the opportunity to learn new skills, apply your expertise, explore local and global challenges, and solve complex technology issues with creative solutions and diverse teams. \#BetterNeverSettles  

  

Selected Candidate works within the Security Operations Center to improve, tune, and enhance security alerts, responses, and remediation of detected issues The engineer will also work within the Incident Management process to remove threats and vulnerabilities within the organization. This role collaborates with other Information Security and IT Operational teams to maintain a secure environment and incident response capabilities. As part of the Global Security Operations Center team, he/she should be responsible for improving security operations and monitoring security events in EDR, permitter scanning, threat detection, preventative advanced threat hunting, across all security tools.**Job Description**

**Roles \& Responsibilities:**

* Serves as the regional point of contact for security escalations/requests and escalates requests to Security architecture as needed.
* Responsible for the identification and assessment of enterprise risks. Identifies, evaluates, and tests appropriate security products, tools, and systems to ensure alignment with the CushWake global security posture
* Articulates security policies, guidelines and standards to customers and developers. Able to apply theories, concepts, principles, and methodologies to difficult but conventional assignments. Assignments are given in terms of objectives to be met.
* Works independently within an established framework.
* Develop techniques and procedures for conducting IS and cyber security risk assessments and compliance audits, the evaluation and testing of hardware, firmware, and software for possible impact on system security, and the investigation and resolution of security incidents.
* Implement IS and cyber security policies and take measures against intrusion, frauds, attacks, or leaks.
* Continue to build knowledge of the organization, processes, and customers. Performs a range of straightforward assignments. Use prescribed guidelines or policies to analyze and resolve problems. Receives a moderate level of guidance and direction
* Partners with Security Architecture on critical scope delivery
* Reviews security INC(s) to ensure proper processes have been followed and to identify additional IoA(s)/IoC(s).
* Perform proactive threat hunting using hypothesis, and telemetry from endpoints, identities, cloud and network to identify malicious activity, abnormal behaviors, and emerging attacker techniques.
* Serves as the security stakeholder for IR/MIM activities until Security Architecture and/or senior leadership can engage.

**Desired Technical Skillset:**

* Experience responding to security incidents in enterprise environments, with a deep understanding of the Incident Response cycle.
* Deep understanding of Cybersecurity concept, principles, and best practices
* Knowledge of Security framework and standards (eg NIST)
* Comprehensive understanding of technical architectures including networking, application and system architecture, web technology, and common internet and ICS protocols
* Knowledge of Windows and MAC operating Systems and their security features
* Understanding compliance requirements
* Experience with administrating or architecting solutions in


	+ Zscaler
	+ CrowdStrike
	+ Mimecast
	+ Wiz
	+ MS Defender
* Emphasis on Identity, setting up and analyzing Conditional Access Policies
* Experienced operating as an administrator across security platforms and executing changes per the Security Architecture groups design.
* Direct long\-term tracking and analysis of Advanced Persistent Threat (APT) actors, including TTPs, infrastructure, and campaign evolution, to inform risk models and defense strategies.
* Guide the implementation of threat hunting methodologies using SIEM, EDR and advanced telemetry to surface adversarial tactics, techniques, and procedures across the enterprise.
* Sponsor and oversee the use of statistical, spatial, and qualitative threat modeling
* Expert level understanding of standard risk classification schemes including CVSS
* Strong organization skills and effective communication on risk with experience presenting to an executive audience
* Mastery of cybersecurity core concepts \& terminology, including the vulnerability management lifecycle, typical risks and risk management approaches, customer expectations and behavior
* Composure and clear thinking during high pressure situations
* Capable of performing technical and business risk analysis on cybersecurity issues.
* Abilities to analyze problems, ask questions, and come up with potential solutions within the confines of our security standards
* Ability to work in multiple areas but track through issue resolution.

**Qualifications:**

* Junior or Senior pursuing a Bachelor’s or Master’s degree in Computer Science, Engineering, Information Systems, Cybersecurity, or a related degree.
* Experience in security domain with exposure to tools such as CrowdStrike, ZScaler, Palo Alto, Mimecast, MS Defender is a plus.
* Highly skilled and knowledgeable within the Microsoft environment and toolset.
* Energetic and a quick learner
* Good communication skills with a positive attitude.
* A willingness to learn new technology.
* Experienced in incident response lifecycle and SLAs.
* Any Security Certification is an added advantage.

  


Cushman \& Wakefield also provides eligible employees with an opportunity to enroll in a variety of benefit programs, generally including health, vision, and dental insurance, flexible spending accounts, health savings accounts, retirement savings plans, life, and disability insurance programs, and paid and unpaid time away from work. In addition to a comprehensive benefits package, Cushman and Wakefield provide eligible employees with competitive pay, which may vary depending on eligibility factors such as geographic location, date of hire, total hours worked, job type, business line, and applicability of collective bargaining agreements.  


The compensation that will be offered to the successful candidate will depend on factors such as whether the position is covered by a collective bargaining agreement, the geographic area in which the work will be performed, market pay rates in that area, and the candidate’s experience and qualifications.  


The company will not pay less than minimum wage for this role.  


The compensation for the position is: $17\.85 \- $21\.00
Cushman \& Wakefield is an Equal Opportunity employer to all protected groups, including protected veterans and individuals with disabilities. Discrimination of any type will not be tolerated.
In compliance with the Americans with Disabilities Act Amendments Act (ADAAA), if you have a disability and would like to request an accommodation in order to apply for a position at Cushman \& Wakefield, please call the ADA line at **1\-888\-365\-5406** or email Accommodations@cushwake.com. Please refer to the job title and job location when you contact us.


INCO: “Cushman \& Wakefield”",2026-05-08,fulltime,False,17.0,21.0,hourly
Tier III Network Configuration Engineer (Fortinet/Extreme) - Local Applicants Only,Essential Network Technologies,"Saint Peters, MO, US",https://www.indeed.com/viewjob?jk=a97b22fe7ece70ca,"Essential Network Technologies is seeking a Network Engineer/Level 3 Support responsible for the design and implementation of internal and external systems, as well as providing technical assistance to team members with network requests. As an IT leader with over 12 years in business, and a growth rate of 20% year over year, it is essential that ENT continues to acquire the finest talent Missouri has to offer.

Essential Duties and Responsibilities:

* Design and implement the following at the network level: WAN and LAN connectivity, routers, firewalls, switches, wireless, and security.
* Install and Support Switching, Wireless, and Firewalls from various manufacturers.
* Configure and Install VOIP systems.
* Provide IT support relating to issues with the network infrastructure, routing, switching, VPN, wireless, network access control.
* Provide guided information to the NOC helpdesk team to properly support clients IT needs day\-to\-day.
* Administer and maintain the remote monitoring and management system: update agent scripts, respond to alerts, and monitor dashboard, and periodic system review.
* Document maintenance for all network infrastructure.
* Create Business Continuity Plan for the client’s infrastructure including data, phone, and locations.
* Review and implement best practices and policies concerning cybersecurity infrastructure protection and employees’ awareness and education.

Additional Duties and Responsibilities:

* Work as a “team player” and communicate effectively.
* Possess business awareness: specific knowledge of the customer and how IT relates to their business strategy and goals. Document client networks and keep them current.
* Ensure that all customer documentation in ITGlue is kept up to date.
* Document internal processes and procedures related to duties and responsibilities. Responsible for entering time in ConnectWise it occurs.
* Understand processes in ConnectWise by completing assigned training materials and blueprints on the ConnectWise University. Work through project tickets and phases in ConnectWise as assigned by the Service Coordinator or a Project Manager.
* Enter all work as service or project tickets into ConnectWise.
* Review IT publications and online materials to remain up‐to‐date with current and future technologies emerging in the industry.

Knowledge, Skills, and/or Abilities Required:

* Complete IT Certifications as assigned
* Interpersonal skills: such as telephony skills, communication skills, active listening and customer care. **Diagnosis skills of technical issues.**
* Ability to multi‐task and adapt to changes quickly.
* Technical awareness: the ability to match resources to technical issues appropriately. Service awareness of all key IT services for which support is being provided.
* Understanding of support tools, techniques, and how technology is used to provide IT services.
* Self‐motivated with the ability to work in a fast\-moving environment.
* Provide mentoring and/or training to other team members as needed.
* Prior MSP Experience preferred

**This is an onsite position**

Benefits:

· Outstanding benefits package (including medical, dental, vision, life insurance)

· 401(k) plan

·Holiday and paid time off

Job Type: Full\-time

Benefits:

* 401(k)
* Health insurance
* Paid time off
* Vision insurance

**THIS IS AN ONSITE POSITION**

Job Type: Full\-time

Pay: $75,000\.00 \- $100,000\.00 per year

Benefits:

* 401(k)
* 401(k) matching
* Dental insurance
* Health insurance
* Life insurance
* Paid time off
* Vision insurance

Experience:

* Network engineering: 5 years (Preferred)
* Firewall: 5 years (Preferred)
* Routing protocols: 5 years (Preferred)

Ability to Commute:

* Saint Peters, MO 63376 (Required)

Ability to Relocate:

* Saint Peters, MO 63376: Relocate before starting work (Required)

Work Location: In person",2026-05-08,fulltime,True,75000.0,100000.0,yearly
Lead Network Designer,Boeing,"Hazelwood, MO",https://www.linkedin.com/jobs/view/4411970566,,2026-05-09,,False,,,
Implementations Network Engineer II,Jobs via Dice,"Scott AFB, IL",https://www.linkedin.com/jobs/view/4409975603,,2026-05-09,,False,,,
EIC Information Security Operations Engineer Intern,Cushman & Wakefield,"St Louis, MO",https://www.linkedin.com/jobs/view/4411915359,,2026-05-09,,False,,,
System Engineer- Enterprise Data Engineer,Esri,"St Louis, MO",https://www.linkedin.com/jobs/view/4391597333,,2026-05-09,,False,,,
System Engineer- ArcGIS,Esri,"St Louis, MO",https://www.linkedin.com/jobs/view/4391586562,,2026-05-09,,False,,,
Mid-Level Product Security Engineer,Boeing,"Berkeley, MO",https://www.linkedin.com/jobs/view/4411988054,,2026-05-09,,False,,,
